# Gnuplot File : forces of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
4.18	-110655 -19.6222 0.00954047 -0.000700225 -0.00462567 -9.8109	
4.19	-132008 -19.622 0.00865005 -0.000709794 -0.00422036 -9.81079	
4.2	-120013 -19.6218 0.00789885 -0.000715248 -0.00387799 -9.8107	
4.21	-109100 -19.6216 0.00714929 -0.000720585 -0.00353634 -9.81061	
4.22	-130595 -19.6215 0.00653334 -0.000721992 -0.00325507 -9.81054	
4.23	-118728 -19.6213 0.00591859 -0.000723287 -0.00297431 -9.81047	
4.24	-107932 -19.6212 0.00541967 -0.000720495 -0.00274556 -9.81041	
4.25	-129533 -19.6211 0.00492135 -0.000717598 -0.00251704 -9.81035	
4.26	-117763 -19.621 0.00442533 -0.000714597 -0.00228953 -9.81029	
4.27	-138470 -19.6209 0.00405157 -0.000708257 -0.00211731 -9.81025	
4.28	-125887 -19.6208 0.00367837 -0.00070182 -0.00194531 -9.81021	
4.29	-114440 -19.6207 0.003307 -0.000695287 -0.00177411 -9.81016	
4.3	-135449 -19.6206 0.00303813 -0.000685446 -0.00164895 -9.81013	
4.31	-123141 -19.6206 0.00276931 -0.000675516 -0.00152379 -9.8101	
4.32	-111943 -19.6205 0.00250148 -0.000665501 -0.00139903 -9.81007	
4.33	-133180 -19.6204 0.0022355 -0.000655401 -0.0012751 -9.81004	
4.34	-121078 -19.6204 0.0020604 -0.000642433 -0.00119195 -9.81002	
4.35	-110068 -19.6204 0.00188514 -0.000629389 -0.00110868 -9.81001	
4.36	-131475 -19.6203 0.00171034 -0.000616271 -0.00102559 -9.80999	
4.37	-119528 -19.6203 0.00153657 -0.000603081 -0.000942946 -9.80997	
4.38	-108659 -19.6202 0.00136439 -0.000589822 -0.000861001 -9.80995	
4.39	-130194 -19.6202 0.00119434 -0.000576496 -0.000780006 -9.80993	
4.4	-118364 -19.6202 0.00110527 -0.000561087 -0.000735481 -9.80993	
4.41	-107600 -19.6202 0.00101604 -0.000545619 -0.000690849 -9.80992	
4.42	-129232 -19.6201 0.000926968 -0.000530094 -0.000646254 -9.80991	
4.43	-117489 -19.6201 0.000838339 -0.000514515 -0.000601833 -9.8099	
4.44	-106805 -19.6201 0.00075044 -0.000498883 -0.00055772 -9.8099	
4.45	-128509 -19.6201 0.000663541 -0.000483202 -0.00051404 -9.80989	
4.46	-116832 -19.6201 0.0005779 -0.000467474 -0.000470915 -9.80988	
4.47	-106208 -19.62 0.000493758 -0.000451701 -0.000428456 -9.80988	
4.48	-127966 -19.62 0.000411344 -0.000435886 -0.000386772 -9.80987	
4.49	-116338 -19.62 0.000330871 -0.000420032 -0.000345961 -9.80986	
4.5	-137175 -19.62 0.000252539 -0.00040414 -0.000306117 -9.80986	
4.51	-124710 -19.62 0.00017653 -0.000388214 -0.000267327 -9.80985	
4.52	-113369 -19.62 0.000103014 -0.000372256 -0.000229668 -9.80985	
4.53	-134476 -19.62 9.89818e-05 -0.000355491 -0.000223603 -9.80985	
